xmin=-15,xmax=15
ymin=-22.5,ymax=22.5
zmin=-12.5,zmax=12.5
-7.92, -22.55, -4.673
-9.79, -22.44, -3.913
-9.68, -22.44, -3.921
-9.57, -22.44, -3.993
-9.459999, -22.44, -4.052
-9.35, -22.44, -4.106
-9.24, -22.44, -4.127
-9.129999, -22.44, -4.153
-9.02, -22.44, -4.209
-8.91, -22.44, -4.28
-8.799999, -22.44, -4.337
-8.69, -22.44, -4.365
-8.58, -22.44, -4.394
-8.469999, -22.44, -4.452
-8.36, -22.44, -4.504
-8.25, -22.44, -4.542
-8.139999, -22.44, -4.597
-8.03, -22.44, -4.648
-7.92, -22.44, -4.68
-7.81, -22.44, -4.743
-7.48, -22.44, -4.872
-7.37, -22.44, -4.94
-7.26, -22.44, -5
-7.15, -22.44, -5.022
-7.04, -22.44, -5.07
-6.929999, -22.44, -5.122
-6.82, -22.44, -5.173
-6.71, -22.44, -5.216
-6.599999, -22.44, -5.259
-6.49, -22.44, -5.315
-6.38, -22.44, -5.362
-6.27, -22.44, -5.4
-6.16, -22.44, -5.451
-6.05, -22.44, -5.511
-5.94, -22.44, -5.556
-5.83, -22.44, -5.599
-5.719999, -22.44, -5.645
-5.17, -22.44, -5.895
-5.059999, -22.44, -5.946
-4.95, -22.44, -6
-4.84, -22.44, -6.052001
-4.73, -22.44, -6.106
-4.62, -22.44, -6.163
-4.51, -22.44, -6.208
-4.4, -22.44, -6.247
-4.29, -22.44, -6.294
-4.179999, -22.44, -6.357
-4.07, -22.44, -6.41
-3.96, -22.44, -6.460001
-3.849999, -22.44, -6.511
-3.74, -22.44, -6.562
-3.63, -22.44, -6.609
-1.54, -22.44, -7.554
-1.429999, -22.44, -7.633
-1.32, -22.44, -7.675
-0.8800001, -22.44, -7.893001
-0.7699995, -22.44, -7.931
-0.6599998, -22.44, -7.985001
-0.5500002, -22.44, -8.042001
-0.4399996, -22.44, -8.078
-0.3299999, -22.44, -8.138
-0.2199993, -22.44, -8.187
-0.1099997, -22.44, -8.227
0, -22.44, -8.280001
0.1100006, -22.44, -8.338
0.2200003, -22.44, -8.392
0.3299999, -22.44, -8.443001
0.4400005, -22.44, -8.494
0.5500002, -22.44, -8.552
0.6599998, -22.44, -8.585
0.7700005, -22.44, -8.658
0.8800001, -22.44, -8.731
1.210001, -22.44, -8.887
1.32, -22.44, -8.950001
1.43, -22.44, -8.998
1.540001, -22.44, -9.037001
1.65, -22.44, -9.09
1.76, -22.44, -9.156
1.870001, -22.44, -9.214001
1.98, -22.44, -9.26
2.09, -22.44, -9.315001
2.200001, -22.44, -9.384001
2.309999, -22.44, -9.438001
2.42, -22.44, -9.487
2.530001, -22.44, -9.551001
2.639999, -22.44, -9.599001
2.75, -22.44, -9.651
3.300001, -22.44, -9.909
3.41, -22.44, -9.968
3.52, -22.44, -10.034
3.630001, -22.44, -10.088
3.74, -22.44, -10.136
3.85, -22.44, -10.191
3.960001, -22.44, -10.236
4.07, -22.44, -10.293
4.18, -22.44, -10.341
4.290001, -22.44, -10.395
4.4, -22.44, -10.455
4.51, -22.44, -10.52
4.620001, -22.44, -10.583
5.17, -22.44, -10.852
5.280001, -22.44, -10.916
5.389999, -22.44, -10.962
5.5, -22.44, -11.017
5.610001, -22.44, -11.065
5.719999, -22.44, -11.115
5.83, -22.44, -11.17
5.940001, -22.44, -11.226
6.049999, -22.44, -11.283
6.16, -22.44, -11.34
6.27, -22.44, -11.39
6.380001, -22.44, -11.44
6.49, -22.44, -11.493
6.6, -22.44, -11.547
7.040001, -22.44, -11.795
7.15, -22.44, -11.844
7.26, -22.44, -11.903
7.370001, -22.44, -11.943
7.48, -22.44, -12.01
7.59, -22.44, -12.041
7.700001, -22.44, -12.082
7.809999, -22.44, -12.134
7.92, -22.44, -12.189
8.030001, -22.44, -12.248
8.139999, -22.44, -12.306
8.25, -22.44, -12.366
-9.79, -22.33, -3.882
-9.68, -22.33, -3.924
-9.57, -22.33, -3.967
-9.459999, -22.33, -4.028
-9.35, -22.33, -4.084
-9.24, -22.33, -4.116
-9.129999, -22.33, -4.145
-9.02, -22.33, -4.204
-8.91, -22.33, -4.267
-8.799999, -22.33, -4.331
